id,habitaciones
254099,2.0
53461,3.0
247984,3.0
209067,2.0
185997,2.0
126147,2.0
139233,3.0
5013,4.0
44962,2.0
134537,0.0
51180,3.0
103293,3.0
47890,3.0
130216,0.0
181436,0.0
201923,3.0
283945,3.0
73348,3.0
40421,0.0
87655,3.0
90071,0.0
224513,3.0
129818,4.0
146699,3.0
235958,3.0
97918,3.0
70294,2.0
177031,3.0
144635,3.0
146158,0.0
257302,2.0
118889,3.0
261416,3.0
162157,4.0
173573,4.0
294582,2.0
261703,3.0
1127,3.0
223547,3.0
127666,2.0
82384,2.0
212847,2.0
202245,3.0
224685,2.0
92610,3.0
274931,3.0
141129,3.0
282782,3.0
157857,3.0
142454,4.0
134758,3.0
116928,2.0
244353,2.0
198249,2.0
232207,2.0
237577,3.0
218245,4.0
241431,0.0
215118,3.0
60762,5.0
196970,3.0
286113,3.0
263775,4.0
61297,3.0
171944,2.0
32302,2.0
119008,2.0
190533,3.0
182136,3.0
16702,3.0
204516,3.0
84768,2.0
137214,3.0
60035,3.0
16952,3.0
167250,3.0
160587,2.0
9271,3.0
25824,3.0
197102,2.0
207641,0.0
200567,2.0
18684,3.0
267991,3.0
84676,2.0
231950,3.0
187330,3.0
166800,2.0
6907,3.0
10005,0.0
250047,3.0
249523,3.0
72712,3.0
58873,4.0
229855,4.0
257588,4.0
11713,2.0
195709,3.0
299439,4.0
273416,3.0
216134,3.0
10414,3.0
127848,3.0
120733,3.0
116312,3.0
270980,3.0
114276,3.0
227278,2.0
69827,3.0
183957,4.0
139467,2.0
126416,3.0
11840,3.0
203992,2.0
48369,2.0
110067,3.0
49646,4.0
33712,0.0
81195,2.0
158350,3.0
68608,3.0
258878,3.0
70673,2.0
277149,2.0
70366,3.0
86982,0.0
14801,2.0
68238,3.0
72658,3.0
188842,4.0
105483,3.0
33771,3.0
49616,2.0
18511,2.0
233065,3.0
252254,2.0
247425,2.0
14228,3.0
246928,2.0
99673,3.0
193815,3.0
160687,3.0
285383,0.0
187385,5.0
212041,2.0
164883,2.0
125412,2.0
197913,3.0
232596,4.0
250273,2.0
46540,1.0
37970,3.0
86207,2.0
223353,3.0
5810,0.0
45125,3.0
157324,0.0
83719,2.0
1416,3.0
246070,3.0
145820,4.0
58909,0.0
100792,4.0
33827,0.0
100861,3.0
95548,3.0
4822,3.0
93871,3.0
131687,3.0
213734,2.0
50692,3.0
204995,3.0
238932,3.0
155331,3.0
103163,2.0
203002,3.0
27205,3.0
104610,3.0
121262,4.0
242278,2.0
223652,3.0
929,3.0
295966,3.0
281684,3.0
98278,3.0
151087,2.0
253204,3.0
43705,9.0
193555,5.0
233662,3.0
134380,0.0
91825,3.0
123025,1.0
110004,3.0
241949,3.0
225438,1.0
284034,3.0
241937,3.0
1976,3.0
233685,4.0
1527,2.0
3221,3.0
136871,2.0
144952,3.0
4609,2.0
80025,2.0
128421,0.0
149879,0.0
79049,2.0
153519,2.0
130215,2.0
63068,7.0
231636,2.0
237547,0.0
100528,0.0
62730,2.0
42690,3.0
271681,3.0
143725,3.0
20830,2.0
142453,2.0
171544,4.0
232768,3.0
173679,4.0
199424,1.0
76493,2.0
165038,3.0
4378,0.0
270212,3.0
125465,3.0
208459,4.0
78770,3.0
109224,2.0
274403,3.0
184145,4.0
201327,2.0
200837,3.0
237183,3.0
100659,2.0
247939,2.0
74110,2.0
17677,3.0
67919,10.0
186814,3.0
62123,2.0
179128,4.0
217845,2.0
5972,3.0
116954,3.0
79960,3.0
291104,3.0
246193,2.0
12145,4.0
290286,2.0
212162,3.0
55466,3.0
