id,avenue,avenue_en_desc,avenida
254099,1,1,1
53461,1,0,1
247984,0,0,0
209067,0,1,1
185997,0,0,0
126147,0,0,0
139233,0,0,0
5013,0,1,1
44962,1,0,1
134537,1,1,1
51180,0,1,1
103293,0,1,1
47890,0,0,0
130216,0,0,0
181436,0,0,0
201923,0,1,1
283945,0,1,1
73348,0,1,1
40421,0,1,1
87655,0,0,0
90071,0,0,0
224513,0,1,1
129818,0,1,1
146699,0,1,1
235958,0,0,0
97918,0,1,1
70294,0,1,1
177031,0,1,1
144635,0,0,0
146158,0,0,0
257302,0,1,1
118889,0,0,0
261416,0,1,1
162157,0,0,0
173573,0,0,0
294582,0,1,1
261703,0,0,0
1127,0,1,1
223547,0,0,0
127666,0,0,0
82384,0,0,0
212847,0,1,1
202245,0,1,1
224685,0,0,0
92610,0,1,1
274931,0,0,0
141129,0,0,0
282782,0,0,0
157857,0,0,0
142454,0,0,0
134758,0,1,1
116928,0,1,1
244353,0,1,1
198249,0,1,1
232207,0,0,0
237577,0,0,0
218245,0,1,1
241431,0,0,0
215118,0,1,1
60762,0,0,0
196970,0,1,1
286113,0,0,0
263775,0,1,1
61297,0,1,1
171944,1,1,1
32302,0,0,0
119008,0,1,1
190533,0,0,0
182136,0,1,1
16702,1,1,1
204516,0,1,1
84768,0,1,1
137214,0,1,1
60035,0,0,0
16952,0,1,1
167250,0,0,0
160587,0,1,1
9271,0,0,0
25824,0,0,0
197102,0,1,1
207641,1,0,1
200567,0,1,1
18684,0,1,1
267991,0,0,0
84676,0,0,0
231950,0,1,1
187330,0,0,0
166800,0,1,1
6907,0,0,0
10005,0,1,1
250047,0,1,1
249523,0,0,0
72712,0,0,0
58873,0,0,0
229855,0,0,0
257588,0,0,0
11713,0,1,1
195709,0,0,0
299439,0,0,0
273416,0,1,1
216134,0,0,0
10414,0,0,0
127848,0,0,0
120733,0,1,1
116312,1,1,1
270980,0,0,0
114276,0,1,1
227278,0,1,1
69827,0,1,1
183957,0,1,1
139467,0,0,0
126416,0,0,0
11840,0,0,0
203992,0,0,0
48369,1,0,1
110067,0,0,0
49646,0,0,0
33712,0,0,0
81195,0,0,0
158350,0,0,0
68608,0,0,0
258878,0,0,0
70673,0,1,1
277149,0,0,0
70366,0,1,1
86982,0,0,0
14801,1,1,1
68238,0,1,1
72658,1,1,1
188842,0,0,0
105483,0,0,0
33771,0,0,0
49616,0,1,1
18511,0,0,0
233065,0,0,0
252254,0,1,1
247425,1,0,1
14228,0,0,0
246928,0,0,0
99673,0,1,1
193815,0,1,1
160687,0,0,0
285383,0,1,1
187385,0,0,0
212041,0,0,0
164883,0,0,0
125412,1,0,1
197913,0,0,0
