id,not_outlier
254099,1
53461,1
247984,1
209067,1
185997,1
126147,1
139233,1
5013,1
44962,0
134537,0
51180,1
103293,1
47890,1
130216,1
181436,1
201923,1
283945,1
73348,1
40421,1
87655,1
90071,1
224513,1
129818,1
146699,1
235958,1
97918,1
70294,0
177031,0
144635,1
146158,0
257302,1
118889,1
261416,1
162157,1
173573,0
294582,1
261703,1
1127,1
223547,1
127666,1
82384,1
212847,1
202245,1
224685,1
92610,1
274931,1
141129,1
282782,0
157857,1
142454,1
134758,1
116928,1
244353,1
198249,1
232207,1
237577,1
218245,0
241431,1
215118,1
60762,1
196970,1
286113,0
263775,1
61297,1
171944,1
32302,1
119008,1
190533,1
182136,1
16702,1
204516,0
84768,0
137214,1
60035,0
16952,1
167250,1
160587,1
9271,1
25824,1
197102,1
207641,1
200567,1
18684,1
267991,1
84676,1
231950,1
187330,1
166800,1
6907,1
10005,1
250047,1
249523,1
72712,1
58873,1
229855,1
257588,1
11713,0
195709,1
299439,1
273416,1
216134,1
10414,1
127848,1
120733,1
116312,1
270980,1
114276,1
227278,1
69827,1
183957,1
139467,1
126416,1
11840,1
203992,1
48369,0
110067,1
49646,1
33712,1
81195,1
158350,1
68608,1
258878,1
70673,1
277149,1
70366,1
86982,1
14801,1
68238,0
72658,1
188842,1
105483,1
33771,1
49616,1
18511,1
233065,1
252254,1
247425,1
14228,1
246928,1
99673,1
193815,1
160687,1
285383,1
187385,1
212041,1
164883,1
125412,1
197913,1
232596,1
250273,1
46540,1
37970,0
86207,1
223353,1
5810,1
45125,1
157324,1
83719,1
1416,1
246070,1
145820,1
58909,1
100792,1
33827,1
100861,1
95548,1
4822,1
93871,1
131687,1
213734,1
50692,1
204995,1
238932,0
155331,1
103163,1
203002,1
27205,1
104610,1
121262,1
242278,1
223652,1
929,1
295966,1
281684,1
98278,1
151087,1
253204,1
43705,0
193555,1
233662,1
134380,1
91825,1
123025,0
110004,1
241949,0
225438,1
284034,0
241937,1
1976,1
233685,0
1527,1
3221,1
136871,1
144952,1
4609,0
80025,1
128421,1
149879,0
79049,1
153519,1
130215,1
63068,1
231636,0
237547,1
100528,1
62730,1
42690,1
271681,1
143725,1
20830,1
142453,1
171544,1
232768,1
173679,1
199424,1
76493,1
165038,1
4378,1
270212,1
125465,1
208459,1
78770,1
109224,1
274403,1
184145,1
201327,1
200837,1
237183,1
100659,1
247939,1
74110,1
17677,1
67919,1
186814,1
62123,1
179128,0
217845,1
5972,0
116954,1
79960,1
291104,1
246193,1
12145,1
290286,1
212162,1
55466,1
94396,1
52920,1
143858,1
188686,1
100877,1
144159,1
16325,1
43801,1
149347,1
56475,1
110074,1
55172,1
157486,0
143295,1
5321,1
216322,1
212546,1
161570,1
123989,1
238337,1
182333,1
70715,1
250663,1
161342,1
251416,1
94337,1
109704,1
268772,0
111327,1
38143,1
39494,0
102124,1
250069,1
208268,1
166399,1
4501,1
165119,1
245705,1
233667,1
20280,1
59058,1
278941,0
59017,1
291049,1
69738,1
38340,1
202164,1
280453,1
260728,1
55846,1
4545,1
60426,1
279001,1
878,1
141799,1
131492,1
181444,1
208109,1
143187,1
155408,0
76237,1
23066,1
143050,1
299920,1
192103,1
257614,1
115183,1
225062,1
225958,1
227708,1
100517,1
81813,1
20370,1
41314,1
281879,1
133728,1
71493,1
59355,1
122483,1
115462,1
134803,1
193676,1
281680,0
170,1
194182,1
237931,1
195003,1
259305,0
147123,1
100205,1
298891,0
104553,1
283609,1
209071,1
205005,1
36316,1
194159,1
227408,0
82397,1
46457,1
272358,1
250155,1
32753,1
58007,1
178133,1
167542,1
140053,1
172742,0
250542,1
208484,1
218257,1
153577,1
207183,1
197755,1
17832,1
60322,1
294361,1
9893,1
58592,1
19526,1
35143,1
288656,1
132491,0
228187,1
92435,1
233180,1
258195,0
157491,1
258047,1
100106,1
112278,1
217561,1
132142,1
205620,1
45293,1
147373,1
98627,1
139515,1
260421,1
225044,1
83083,1
188630,1
282918,1
219139,1
660,1
163921,1
88311,0
774,0
176707,1
109416,1
72875,1
132033,1
75138,1
266105,1
268973,1
27815,1
139168,1
288171,1
22276,1
180649,1
115356,1
213034,1
93795,0
47903,1
50364,1
291725,1
288975,1
154239,1
26168,1
215673,1
63484,1
135904,1
289415,1
191063,1
248675,1
150010,1
4421,1
88928,1
116423,1
124699,1
226815,1
38212,1
19319,0
180384,1
261326,1
204405,1
18218,1
88457,1
42950,1
71716,0
107307,1
298215,1
92248,1
13696,0
219375,1
269691,1
163224,1
96329,1
209138,0
201173,1
99212,1
268810,1
161497,1
103670,0
224417,1
39836,1
12510,1
216150,1
261333,1
255320,1
118783,1
32809,1
297052,1
82795,0
138377,1
229837,1
75763,1
2512,0
62521,1
237818,1
152292,1
278403,1
11879,1
158513,1
237726,1
64742,1
31955,1
63762,1
297301,1
253803,1
78453,1
107082,1
2130,1
289423,1
84978,1
208299,1
11565,1
98108,1
97086,1
153280,1
169196,1
139589,1
182799,1
126367,1
71708,0
21776,1
277567,0
244819,1
148617,1
111579,1
219982,1
175439,1
64658,1
53635,1
55713,1
116635,1
61335,1
280443,1
251822,1
21252,1
33145,1
184641,1
279183,1
129843,0
34607,1
261220,1
170594,1
166214,1
277163,1
83002,1
139622,1
166394,1
102678,1
280664,1
97013,1
188359,1
194676,1
121663,1
153590,1
239439,1
291696,1
63553,1
270260,1
231223,1
201234,1
219448,0
209471,1
70588,1
190785,1
233364,1
154538,0
68859,1
246608,1
296281,1
41595,1
201732,1
251152,1
3539,1
206114,1
268239,1
233080,1
40790,1
72025,1
57552,1
167118,1
184600,0
284830,1
130927,1
26302,1
280686,1
186896,1
163648,1
81040,1
289813,1
91293,1
52686,1
223123,1
47090,1
297202,1
151106,1
37250,1
265478,1
172919,1
179524,1
239086,1
63985,1
22311,1
125932,1
22139,1
174097,0
84845,0
109465,1
284948,1
65434,1
22171,1
88364,1
249718,1
76423,1
156197,1
217135,1
122828,1
84395,1
79501,1
226196,1
106936,1
56254,1
203175,1
225367,0
249569,1
222573,1
152929,1
50398,1
224663,1
68933,1
61384,1
43483,1
141480,0
191774,1
231960,1
159751,1
186414,1
272167,1
36712,1
246704,1
273624,1
148502,1
227196,1
272103,1
202126,1
120856,1
149894,1
108308,0
98472,1
632,1
234569,0
50824,1
288751,1
299307,1
79108,1
296098,1
75945,1
135643,1
2898,1
299080,1
67729,1
218799,1
299274,1
122933,0
270379,1
270447,1
3077,1
14001,1
142168,1
268791,1
117094,1
175744,1
245018,0
27748,0
186396,1
145840,1
165607,1
134448,1
6669,1
6155,1
149070,1
168291,1
167322,1
284431,1
146378,1
96899,1
256478,1
173591,1
138251,1
274480,1
10585,1
269465,1
104807,1
237607,1
112464,1
114384,1
143500,1
246603,1
96636,1
288969,1
123309,0
195450,1
117910,1
