iter	Passed	Remaining
0	27	8351
1	54	8110
2	81	8107
3	109	8070
4	136	8056
5	164	8037
6	192	8040
7	220	8060
8	261	8461
9	295	8576
10	324	8534
11	355	8528
12	383	8461
13	412	8426
14	441	8393
15	475	8431
16	511	8516
17	540	8461
18	569	8418
19	598	8378
20	634	8436
21	664	8391
22	701	8444
23	732	8424
24	761	8380
25	793	8360
26	822	8311
27	851	8275
28	881	8234
29	917	8260
30	948	8232
31	977	8185
32	1007	8150
33	1035	8104
34	1065	8069
35	1096	8039
36	1134	8064
37	1167	8051
38	1196	8009
39	1226	7971
40	1253	7919
41	1286	7902
42	1314	7856
43	1350	7856
44	1383	7841
45	1413	7803
46	1442	7766
47	1474	7740
48	1503	7699
49	1532	7661
50	1566	7647
51	1600	7632
52	1629	7595
53	1658	7555
54	1688	7519
55	1716	7478
56	1743	7434
57	1782	7435
58	1817	7423
59	1846	7385
60	1875	7349
61	1903	7307
62	1932	7270
63	1961	7232
64	1997	7220
65	2031	7203
66	2060	7166
67	2091	7134
68	2120	7098
69	2147	7056
70	2176	7019
71	2208	6994
72	2244	6978
73	2277	6954
74	2306	6918
75	2335	6883
76	2364	6848
77	2393	6812
78	2427	6790
79	2461	6768
80	2490	6734
81	2519	6697
82	2547	6661
83	2576	6625
84	2605	6590
85	2637	6563
86	2681	6565
87	2710	6529
88	2738	6492
89	2771	6465
90	2799	6430
91	2828	6394
92	2867	6383
93	2899	6353
94	2927	6317
95	2957	6284
96	2986	6250
97	3015	6215
98	3043	6179
99	3074	6149
100	3111	6130
101	3140	6095
102	3170	6064
103	3198	6027
104	3227	5993
105	3258	5962
106	3296	5946
107	3329	5918
108	3358	5884
109	3390	5855
110	3418	5821
111	3447	5786
112	3476	5753
113	3509	5726
114	3545	5703
115	3573	5668
116	3602	5634
117	3629	5598
118	3657	5563
119	3686	5529
120	3720	5503
121	3761	5488
122	3791	5455
123	3820	5422
124	3851	5392
125	3882	5360
126	3911	5328
127	3949	5306
128	3981	5277
129	4010	5244
130	4039	5210
131	4067	5177
132	4097	5145
133	4126	5111
134	4158	5083
135	4196	5060
136	4225	5027
137	4260	5001
138	4290	4969
139	4319	4936
140	4347	4902
141	4385	4879
142	4418	4850
143	4446	4816
144	4474	4783
145	4502	4749
146	4531	4716
147	4560	4683
148	4591	4653
149	4629	4629
150	4658	4596
151	4687	4563
152	4717	4532
153	4747	4500
154	4777	4469
155	4813	4443
156	4849	4416
157	4878	4384
158	4907	4351
159	4935	4318
160	4963	4285
161	4992	4253
162	5025	4223
163	5060	4196
164	5088	4163
165	5117	4131
166	5147	4099
167	5176	4067
168	5206	4036
169	5240	4007
170	5276	3980
171	5306	3948
172	5336	3917
173	5365	3885
174	5393	3852
175	5421	3819
176	5455	3790
177	5488	3762
178	5517	3729
179	5546	3697
180	5576	3666
181	5605	3634
182	5634	3602
183	5669	3574
184	5704	3545
185	5733	3513
186	5766	3484
187	5795	3452
188	5823	3420
189	5851	3387
190	5887	3359
191	5920	3330
192	5948	3297
193	5978	3266
194	6007	3234
195	6037	3203
196	6065	3171
197	6096	3140
198	6131	3111
199	6160	3080
200	6189	3048
201	6218	3016
202	6251	2987
203	6280	2955
204	6316	2927
205	6348	2896
206	6376	2864
207	6405	2833
208	6434	2801
209	6462	2769
210	6491	2738
211	6522	2707
212	6560	2679
213	6590	2648
214	6620	2617
215	6650	2586
216	6681	2555
217	6708	2523
218	6748	2495
219	6780	2465
220	6809	2434
221	6838	2402
222	6868	2371
223	6897	2340
224	6927	2309
225	6968	2281
226	7000	2251
227	7028	2219
228	7057	2188
229	7085	2156
230	7115	2125
231	7145	2094
232	7179	2064
233	7217	2035
234	7248	2004
235	7280	1974
236	7308	1942
237	7337	1911
238	7366	1880
239	7406	1851
240	7437	1820
241	7465	1789
242	7493	1757
243	7521	1726
244	7549	1694
245	7579	1663
246	7613	1633
247	7650	1604
248	7680	1573
249	7709	1541
250	7739	1510
251	7772	1480
252	7801	1449
253	7840	1419
254	7873	1389
255	7902	1358
256	7930	1326
257	7959	1295
258	7988	1264
259	8016	1233
260	8047	1202
261	8084	1172
262	8114	1141
263	8143	1110
264	8172	1079
265	8201	1048
266	8233	1017
267	8272	987
268	8305	957
269	8333	925
270	8361	894
271	8389	863
272	8417	832
273	8446	801
274	8477	770
275	8515	740
276	8544	709
277	8574	678
278	8602	647
279	8633	616
280	8662	585
281	8699	555
282	8732	524
283	8764	493
284	8794	462
285	8823	431
286	8851	400
287	8881	370
288	8913	339
289	8949	308
290	8978	277
291	9006	246
292	9034	215
293	9064	184
294	9093	154
295	9128	123
296	9164	92
297	9197	61
298	9225	30
299	9257	0
